n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1088834.454741, 1527270, 57679.290948, 1020246.759159, 10908.404634, 3360, 1515720, 8190
4847, 14763488.693431, 19104738, 1183993.766423, 13435435.532847, 144059.394161, 20984, 18981720, 102034
5167, 17117480.711864, 22623532, 1376508.194915, 15579389.957627, 161582.559322, 24544, 22478200, 120788
1879, 2659543.747051, 3815808, 159331.882045, 2463123.960682, 37087.904325, 5330, 3790040, 20438
5879, 22853022.370787, 30194701, 2025388.235955, 20626037.415730, 201596.719101, 32481, 30001080, 161140
6452, 28567718.521127, 38818949, 3172163.901408, 25161529.323944, 234025.295775, 41461, 38570400, 207088
2442, 4037020.053678, 5431036, 257152.602386, 3721683.723658, 58183.727634, 7000, 5394960, 29076
7272, 34575203.033898, 50184138, 3615920.762712, 30684573.101695, 274709.169492, 53616, 49862880, 267642
7766, 39346145.250000, 59120130, 4313215.500000, 34728759.326923, 304170.423077, 62886, 58742000, 315244
8522, 46393936.772727, 68917639, 5917231.659091, 40142026.840909, 334678.272727, 73149, 68477040, 367450
9278, 53323440.526316, 81881628, 6740551.157895, 46208936.894737, 373952.473684, 86958, 81358160, 436510
3128, 7110696.122807, 9333763, 468942.438596, 6555412.540351, 86341.143860, 10903, 9272960, 49900
4142, 11389576.073034, 14502990, 906101.915730, 10363707.443820, 119766.713483, 16302, 14409200, 77488
10334, 62139122.181818, 97851933, 7721357.303030, 53987983.393939, 429781.484848, 103537, 97226800, 521596
