n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 11333665.700000, 7624890, 128658.300000, 11205007.400000, 3360, 7570200, 51330
4847, 198332984.500000, 195953094, 2165803.500000, 196167181.000000, 20984, 195268040, 664070
5167, 229442488.900000, 229086994, 2541348.300000, 226901140.600000, 24544, 228274420, 788030
1879, 37236680.300000, 36384040, 323940.600000, 36912739.700000, 5330, 36248720, 129990
5879, 310983287.600000, 318952291, 3563053.600000, 307420234.000000, 32481, 317865140, 1054670
6452, 413529364.900000, 436951981, 5272468.100000, 408256896.800000, 41461, 435551440, 1359080
2442, 50334200.300000, 48683420, 500278.100000, 49833922.200000, 7000, 48490720, 185700
7272, 417566226.500000, 652324356, 6170845.800000, 411395380.700000, 53616, 650510700, 1760040
7766, 498220975.800000, 793677026, 8381700.900000, 489839274.900000, 62886, 791538400, 2075740
8522, 653298834.500000, 1132600189, 8862618.300000, 644436216.200000, 73149, 1130105780, 2421260
9278, 805545470.900000, 1405621998, 10658864.100000, 794886606.800000, 86958, 1402655900, 2879140
3128, 84181647.700000, 79004703, 1021864.200000, 83159783.500000, 10903, 78671560, 322240
4142, 148219675.100000, 147890882, 1790469.500000, 146429205.600000, 16302, 147371800, 502780
10334, 1041464566.400000, 1863730237, 14691774.000000, 1026772792.400000, 103537, 1860183840, 3442860
