n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1099081.930435, 1527270, 66246.766848, 1020764.025000, 12071.138587, 3360, 1515720, 8190
4847, 15128834.977612, 19104738, 1268316.074627, 13716555.216418, 143963.686567, 20984, 18981720, 102034
5167, 17588431.400000, 22623532, 1482658.486957, 15945431.913043, 160341.000000, 24544, 22478200, 120788
1879, 2647736.428198, 3815808, 167803.013055, 2444649.560052, 35283.855091, 5330, 3790040, 20438
5879, 23879632.788235, 30194701, 2199504.870588, 21477719.564706, 202408.352941, 32481, 30001080, 161140
6452, 29424448.405797, 38818949, 3357253.478261, 25830814.913043, 236380.014493, 41461, 38570400, 207088
2442, 4192160.386364, 5431036, 282975.431818, 3851864.528926, 57320.425620, 7000, 5394960, 29076
7272, 35027676.982759, 50184138, 3802487.172414, 30953793.224138, 271396.586207, 53616, 49862880, 267642
7766, 40230431.274510, 59120130, 4585678.941176, 35345080.686275, 299671.647059, 62886, 58742000, 315244
8522, 46999354.883721, 68917639, 6219647.720930, 40441829.627907, 337877.534884, 73149, 68477040, 367450
9278, 54730739.594595, 81881628, 7165338.324324, 47189155.486486, 376245.783784, 86958, 81358160, 436510
3128, 7453366.191176, 9333763, 519209.426471, 6848190.176471, 85966.588235, 10903, 9272960, 49900
4142, 11871315.011696, 14502990, 986170.654971, 10763589.064327, 121555.292398, 16302, 14409200, 77488
10334, 64056582.937500, 97851933, 8300194.906250, 55327754.625000, 428633.406250, 103537, 97226800, 521596
