n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1617579.395850, 1527270, 84958.018356, 1511642.871508, 20978.505986, 3360, 1515720, 8190, 40
4847, 26669733.250000, 19104738, 1743517.907895, 24703704.776316, 222510.565789, 20984, 18981720, 102034, 40
5167, 31756121.031250, 22623532, 2217082.687500, 29294203.015625, 244835.328125, 24544, 22478200, 120788, 40
1879, 4262445.762605, 3815808, 222075.271008, 3984166.598739, 56203.892857, 5330, 3790040, 20438, 40
5879, 44831119.288889, 30194701, 3477769.022222, 41026221.177778, 327129.088889, 32481, 30001080, 161140, 40
6452, 54115572.184211, 38818949, 4323860.473684, 49435683.657895, 356028.052632, 41461, 38570400, 207088, 40
2442, 6348688.040625, 5431036, 354127.537500, 5911300.534375, 83259.968750, 7000, 5394960, 29076, 40
7272, 70234946.172414, 50184138, 5744899.862069, 64067796.551724, 422249.758621, 53616, 49862880, 267642, 40
7766, 81734945.280000, 59120130, 7124880.320000, 74120152.880000, 489912.080000, 62886, 58742000, 315244, 40
8522, 95033827.272727, 68917639, 8318837.363636, 86212193.727273, 502796.181818, 73149, 68477040, 367450, 40
9278, 109011687.421053, 81881628, 8787510.157895, 99656821.315789, 567355.947368, 86958, 81358160, 436510, 40
3128, 12127856.005988, 9333763, 663130.071856, 11332591.485030, 132134.449102, 10903, 9272960, 49900, 40
4142, 20521464.323232, 14502990, 1307410.070707, 19023264.707071, 190789.545455, 16302, 14409200, 77488, 40
10334, 133391843.750000, 97851933, 12845716.125000, 119838229.875000, 707897.750000, 103537, 97226800, 521596, 40
