n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1602399.977057, 1527270, 83735.340981, 1498743.129747, 19921.506329, 3360, 1515720, 8190, 40
4847, 25787719.430380, 19104738, 1744479.050633, 23818434.000000, 224806.379747, 20984, 18981720, 102034, 40
5167, 30955045.469697, 22623532, 2225202.500000, 28480008.939394, 249834.030303, 24544, 22478200, 120788, 40
1879, 4178953.220165, 3815808, 226599.339506, 3894459.102881, 57894.777778, 5330, 3790040, 20438, 40
5879, 41323115.102041, 30194701, 3239967.224490, 37784086.816327, 299061.061224, 32481, 30001080, 161140, 40
6452, 52273613.871795, 38818949, 4290353.205128, 47636375.666667, 346885.000000, 41461, 38570400, 207088, 40
2442, 6251905.043077, 5431036, 362759.040000, 5803046.544615, 86099.458462, 7000, 5394960, 29076, 40
7272, 67267512.933333, 50184138, 5624122.666667, 61229373.333333, 414016.933333, 53616, 49862880, 267642, 40
7766, 79633223.576923, 59120130, 6992519.153846, 72176856.692308, 463847.730769, 62886, 58742000, 315244, 40
8522, 91603378.000000, 68917639, 8178202.181818, 82912601.227273, 512574.590909, 73149, 68477040, 367450, 40
9278, 109822958.105263, 81881628, 8937582.842105, 100269507.210526, 615868.052632, 86958, 81358160, 436510, 40
3128, 11627530.247126, 9333763, 670554.775862, 10824505.178161, 132470.293103, 10903, 9272960, 49900, 40
4142, 19494558.913462, 14502990, 1278566.538462, 18026620.798077, 189371.576923, 16302, 14409200, 77488, 40
10334, 128741196.812500, 97851933, 11985280.625000, 116121124.687500, 634791.500000, 103537, 97226800, 521596, 40
