n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1428952.243644, 3800850, 77640.413136, 1335287.240113, 16024.590395, 3360, 3789300, 8190, 100
4847, 28068234.861111, 47577318, 1727449.125000, 26149391.694444, 191394.041667, 20984, 47454300, 102034, 100
5167, 33101186.983607, 56340832, 2142113.016393, 30744742.737705, 214331.229508, 24544, 56195500, 120788, 100
1879, 4002659.426877, 9500868, 214794.438735, 3742581.183794, 45283.804348, 5330, 9475100, 20438, 100
5879, 42048655.458333, 75196321, 3074927.729167, 38720037.979167, 253689.750000, 32481, 75002700, 161140, 100
6452, 52481721.025641, 96674549, 4073557.435897, 48114099.205128, 294064.384615, 41461, 96426000, 207088, 100
2442, 6808750.390572, 13523476, 355776.316498, 6383539.599327, 69434.474747, 7000, 13487400, 29076, 100
7272, 68501252.200000, 124978458, 5435711.200000, 62718291.966667, 347249.033333, 53616, 124657200, 267642, 100
7766, 79505577.615385, 147233130, 6706612.423077, 72405282.538462, 393682.653846, 62886, 146855000, 315244, 100
8522, 89450756.739130, 171633199, 7640162.652174, 81385122.478261, 425471.608696, 73149, 171192600, 367450, 100
9278, 106303394.842105, 203918868, 8210214.000000, 97617774.947368, 475405.894737, 86958, 203395400, 436510, 100
3128, 12876400.216561, 23243203, 647548.726115, 12121673.452229, 107178.038217, 10903, 23182400, 49900, 100
4142, 21109432.052083, 36116790, 1230382.875000, 19723945.729167, 155103.447917, 16302, 36023000, 77488, 100
10334, 125628274.882353, 243692133, 11126129.058824, 113972995.176471, 529150.647059, 103537, 243067000, 521596, 100
