n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 780575.317818, 1527270, 91095.808089, 672050.035483, 17429.474246, 3360, 1515720, 8190, 40
4847, 12694273.500000, 19104738, 1637981.325000, 10866196.675000, 190095.500000, 20984, 18981720, 102034, 40
5167, 14997737.933824, 22623532, 2008316.279412, 12775620.492647, 213801.161765, 24544, 22478200, 120788, 40
1879, 1795810.133975, 3815808, 212247.629597, 1540051.267075, 43511.237303, 5330, 3790040, 20438, 40
5879, 19916402.715686, 30194701, 2946291.215686, 16704770.156863, 265341.343137, 32481, 30001080, 161140, 40
6452, 25089633.444444, 38818949, 4094021.308642, 20690719.753086, 304892.382716, 41461, 38570400, 207088, 40
2442, 3001857.073314, 5431036, 346947.532258, 2588717.123167, 66192.417889, 7000, 5394960, 29076, 40
7272, 32229174.825397, 50184138, 5521309.793651, 26341704.968254, 366160.063492, 53616, 49862880, 267642, 40
7766, 37212743.963636, 59120130, 6574496.145455, 30239722.381818, 398525.436364, 62886, 58742000, 315244, 40
8522, 43713419.872340, 68917639, 8263156.319149, 35014300.382979, 435963.170213, 73149, 68477040, 367450, 40
9278, 50379686.341463, 81881628, 8703946.682927, 41184932.365854, 490807.292683, 86958, 81358160, 436510, 40
3128, 5846402.979943, 9333763, 662991.406877, 5075747.767908, 107663.805158, 10903, 9272960, 49900, 40
4142, 9675770.744076, 14502990, 1258027.246445, 8262183.734597, 155559.763033, 16302, 14409200, 77488, 40
10334, 62519189.696970, 97851933, 12136757.151515, 49809274.424242, 573158.121212, 103537, 97226800, 521596, 40
