n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 5210479.053846, 3800850, 118648.820513, 5015712.543590, 76117.689744, 3360, 3789300, 8190, 100
4847, 112428579.388889, 47577318, 2621984.777778, 109177382.555556, 629212.055556, 20984, 47454300, 102034, 100
5167, 132488576.500000, 56340832, 2544433.000000, 129217589.250000, 726554.250000, 24544, 56195500, 120788, 100
1879, 12240868.909639, 9500868, 287767.578313, 11793410.487952, 159690.843373, 5330, 9475100, 20438, 100
5879, 168161499.076923, 75196321, 3715759.846154, 163520651.923077, 925087.307692, 32481, 75002700, 161140, 100
6452, 227081817.000000, 96674549, 5758037.100000, 220157564.600000, 1166215.300000, 41461, 96426000, 207088, 100
2442, 24044180.166667, 13523476, 493412.500000, 23334897.404762, 215870.261905, 7000, 13487400, 29076, 100
7272, 288087622.428571, 124978458, 6290150.000000, 280383316.571429, 1414155.857143, 53616, 124657200, 267642, 100
7766, 350972339.666667, 147233130, 8510492.666667, 340903138.666667, 1558708.333333, 62886, 146855000, 315244, 100
8522, 421992622.600000, 171633199, 8706152.600000, 411462518.200000, 1823951.800000, 73149, 171192600, 367450, 100
9278, 463546190.000000, 203918868, 9827031.400000, 451653732.000000, 2065426.600000, 86958, 203395400, 436510, 100
3128, 66833250.258065, 23243203, 1134230.387097, 65356258.516129, 342761.354839, 10903, 23182400, 49900, 100
4142, 90014191.913043, 36116790, 1922687.478261, 87592118.086957, 499386.347826, 16302, 36023000, 77488, 100
10334, 568025755.800000, 243692133, 13399149.000000, 552141137.400000, 2485469.400000, 103537, 243067000, 521596, 100
