n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 1305151.900000, 7624890, 100963.430000, 1204188.470000, 3360, 7570200, 51330
4847, 18951742.510000, 195953094, 1745675.490000, 17206067.020000, 20984, 195268040, 664070
5167, 24750124.860000, 229086994, 2310524.800000, 22439600.060000, 24544, 228274420, 788030
1879, 2973294.950000, 36384040, 250020.300000, 2723274.650000, 5330, 36248720, 129990
5879, 31897355.740000, 318952291, 2760767.960000, 29136587.780000, 32481, 317865140, 1054670
6452, 46561853.920000, 436951981, 3971871.510000, 42589982.410000, 41461, 435551440, 1359080
2442, 4553457.960000, 48683420, 414962.720000, 4138495.240000, 7000, 48490720, 185700
7272, 55886981.280000, 652324356, 5555667.700000, 50331313.580000, 53616, 650510700, 1760040
7766, 71280712.080000, 793677026, 6633231.690000, 64647480.390000, 62886, 791538400, 2075740
8522, 84240566.490000, 1132600189, 7432426.550000, 76808139.940000, 73149, 1130105780, 2421260
9278, 98351297.070000, 1405621998, 9672998.320000, 88678298.750000, 86958, 1402655900, 2879140
3128, 8495754.460000, 79004703, 776088.060000, 7719666.400000, 10903, 78671560, 322240
4142, 13377026.490000, 147890882, 1255212.820000, 12121813.670000, 16302, 147371800, 502780
10334, 124311525.690000, 1863730237, 12360997.270000, 111950528.420000, 103537, 1860183840, 3442860
