n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 678235.777778, 1527270, 76564.941294, 586922.999005, 14747.837479, 3360, 1515720, 8190, 40
4847, 11446761.022472, 19104738, 1599065.522472, 9658535.061798, 189160.438202, 20984, 18981720, 102034, 40
5167, 13733955.743243, 22623532, 1986421.513514, 11536408.425676, 211125.804054, 24544, 22478200, 120788, 40
1879, 1708719.251039, 3815808, 208996.014131, 1454494.282627, 45228.954281, 5330, 3790040, 20438, 40
5879, 18866327.250000, 30194701, 2954956.259259, 15644423.490741, 266947.500000, 32481, 30001080, 161140, 40
6452, 24335915.892857, 38818949, 4093777.369048, 19933791.880952, 308346.642857, 41461, 38570400, 207088, 40
2442, 2877094.311360, 5431036, 350726.502104, 2454383.639551, 71984.169705, 7000, 5394960, 29076, 40
7272, 31993138.125000, 50184138, 5663080.906250, 25954039.015625, 376018.203125, 53616, 49862880, 267642, 40
7766, 37450587.222222, 59120130, 6921892.574074, 30120255.851852, 408438.796296, 62886, 58742000, 315244, 40
8522, 46597745.090909, 68917639, 9147783.613636, 36971729.022727, 478232.454545, 73149, 68477040, 367450, 40
9278, 56164479.083333, 81881628, 9973108.166667, 45643265.000000, 548105.916667, 86958, 81358160, 436510, 40
3128, 5266300.822165, 9333763, 656100.747423, 4499860.301546, 110339.773196, 10903, 9272960, 49900, 40
4142, 8759914.884120, 14502990, 1240351.965665, 7363008.845494, 156554.072961, 16302, 14409200, 77488, 40
10334, 60009217.352941, 97851933, 12002158.382353, 47454432.352941, 552626.617647, 103537, 97226800, 521596, 40
