n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 1402217.400000, 7624890, 180210.800000, 1222006.600000, 3360, 7570200, 51330
4847, 20313488.800000, 195953094, 3233053.000000, 17080435.800000, 20984, 195268040, 664070
5167, 25481428.800000, 229086994, 3359249.400000, 22122179.400000, 24544, 228274420, 788030
1879, 3023580.800000, 36384040, 429889.000000, 2593691.800000, 5330, 36248720, 129990
5879, 39354489.000000, 318952291, 5711614.000000, 33642875.000000, 32481, 317865140, 1054670
6452, 54870987.200000, 436951981, 11328773.400000, 43542213.800000, 41461, 435551440, 1359080
2442, 4855799.400000, 48683420, 670771.200000, 4185028.200000, 7000, 48490720, 185700
7272, 57190021.000000, 652324356, 8454326.000000, 48735695.000000, 53616, 650510700, 1760040
7766, 72865733.600000, 793677026, 11169155.200000, 61696578.400000, 62886, 791538400, 2075740
8522, 84017430.400000, 1132600189, 12051018.800000, 71966411.600000, 73149, 1130105780, 2421260
9278, 98237508.800000, 1405621998, 13881454.400000, 84356054.400000, 86958, 1402655900, 2879140
3128, 10324658.600000, 79004703, 1585944.800000, 8738713.800000, 10903, 78671560, 322240
4142, 18201264.000000, 147890882, 3223081.400000, 14978182.600000, 16302, 147371800, 502780
10334, 125947966.200000, 1863730237, 18927386.200000, 107020580.000000, 103537, 1860183840, 3442860
