n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 2757026.079019, 1527270, 128159.754768, 2598764.217984, 30102.106267, 3360, 1515720, 8190
4847, 27500104.243243, 19104738, 2352136.027027, 24862809.702703, 285158.513514, 20984, 18981720, 102034
5167, 32734549.903226, 22623532, 3251353.322581, 29163995.612903, 319200.967742, 24544, 22478200, 120788
1879, 5978428.525074, 3815808, 318677.480826, 5584132.212389, 75618.831858, 5330, 3790040, 20438
5879, 43723844.765957, 30194701, 4659966.085106, 38659959.404255, 403919.276596, 32481, 30001080, 161140
6452, 54046921.000000, 38818949, 6538881.684211, 47062067.684211, 445971.631579, 41461, 38570400, 207088
2442, 8444795.691667, 5431036, 500496.758333, 7834005.016667, 110293.916667, 7000, 5394960, 29076
7272, 67258054.333333, 50184138, 7744522.466667, 58968354.933333, 545176.933333, 53616, 49862880, 267642
7766, 79987684.230769, 59120130, 10467098.769231, 68922809.538462, 597775.923077, 62886, 58742000, 315244
8522, 91251552.434783, 68917639, 10917836.956522, 79664578.695652, 669136.782609, 73149, 68477040, 367450
9278, 107830773.368421, 81881628, 13416718.421053, 93671439.789474, 742615.157895, 86958, 81358160, 436510
3128, 13892278.041096, 9333763, 1004681.452055, 12720074.945205, 167521.643836, 10903, 9272960, 49900
4142, 21420708.715789, 14502990, 1785920.273684, 19398231.452632, 236556.989474, 16302, 14409200, 77488
10334, 129776780.000000, 97851933, 18010881.500000, 110907477.250000, 858421.250000, 103537, 97226800, 521596
