n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1524226.017267, 1527270, 84587.168919, 1417945.054054, 21693.794294, 3360, 1515720, 8190, 40
4847, 24757328.658537, 19104738, 1749034.670732, 22796426.219512, 211867.768293, 20984, 18981720, 102034, 40
5167, 29569820.927536, 22623532, 2196279.942029, 27132823.695652, 240717.289855, 24544, 22478200, 120788, 40
1879, 4001035.870079, 3815808, 217730.624016, 3724683.633858, 58621.612205, 5330, 3790040, 20438, 40
5879, 39112987.211538, 30194701, 3219103.000000, 35606772.653846, 287111.557692, 32481, 30001080, 161140, 40
6452, 50650215.150000, 38818949, 4350628.250000, 45963302.475000, 336284.425000, 41461, 38570400, 207088, 40
2442, 5924041.731778, 5431036, 349775.361516, 5489235.620991, 85030.749271, 7000, 5394960, 29076, 40
7272, 64124483.500000, 50184138, 5618065.468750, 58110692.468750, 395725.562500, 53616, 49862880, 267642, 40
7766, 76210398.037037, 59120130, 7155033.037037, 68608290.555556, 447074.444444, 62886, 58742000, 315244, 40
8522, 88283878.478261, 68917639, 8308564.695652, 79486037.086957, 489276.695652, 73149, 68477040, 367450, 40
9278, 103782023.250000, 81881628, 9002624.800000, 94230053.350000, 549345.100000, 86958, 81358160, 436510, 40
3128, 11090852.000000, 9333763, 661054.994536, 10300935.344262, 128861.661202, 10903, 9272960, 49900, 40
4142, 18384818.290909, 14502990, 1269215.645455, 16936771.872727, 178830.772727, 16302, 14409200, 77488, 40
10334, 124915116.941176, 97851933, 12257504.705882, 112039782.764706, 617829.470588, 103537, 97226800, 521596, 40
