n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
169867, 18095785994.799999, 15205621706, 2263421808.600000, 15803083435.000000, 29280751.200000, 17612397, 15129518320, 58490989
187172, 20856569866.800003, 17322568865, 2617091313.800000, 18206065210.200001, 33413342.800000, 20060809, 17235885040, 66623016
204131, 24397567463.200001, 19482813282, 2960177953.000000, 21399155641.400002, 38233868.800000, 22568225, 19385324960, 74920097
45729, 1550602076.600000, 2114756045, 263617205.000000, 1281324376.800000, 5660494.800000, 2442374, 2104139920, 8173751
71223, 3858287328.800000, 4327334947, 541191695.400000, 3307752225.800000, 9343407.600000, 5006374, 4305642400, 16686173
92295, 6382759778.000000, 6510080180, 915329409.400000, 5454001883.800000, 13428484.800000, 7530491, 6477473040, 25076649
111227, 9483735274.000000, 8681034001, 1271729613.400000, 8194585641.200001, 17420019.400000, 10051092, 8637564720, 33418189
135339, 12361642759.400002, 10890208118, 1579401274.600000, 10759708122.200001, 22533362.600000, 12608081, 10835684880, 41915157
152638, 14435935914.400002, 13042295622, 1901302192.800000, 12509018941.600000, 25614780.000000, 15104716, 12977009280, 50181626
221588, 29229342844.200001, 21726357425, 3319621990.800000, 25867338578.800003, 42382274.600000, 25163269, 21617657280, 83536876
