n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 1536821.200000, 7624890, 221269.300000, 1315551.900000, 3360, 7570200, 51330
4847, 13698074.400000, 195953094, 2333892.400000, 11364182.000000, 20984, 195268040, 664070
5167, 16077355.900000, 229086994, 2778322.000000, 13299033.900000, 24544, 228274420, 788030
1879, 2365619.500000, 36384040, 318508.300000, 2047111.200000, 5330, 36248720, 129990
5879, 21565751.400000, 318952291, 3888098.800000, 17677652.600000, 32481, 317865140, 1054670
6452, 28602363.300000, 436951981, 5626993.000000, 22975370.300000, 41461, 435551440, 1359080
2442, 3852114.700000, 48683420, 570982.200000, 3281132.500000, 7000, 48490720, 185700
7272, 32381222.600000, 652324356, 6325351.300000, 26055871.300000, 53616, 650510700, 1760040
7766, 41946908.100000, 793677026, 9120707.700000, 32826200.400000, 62886, 791538400, 2075740
8522, 44003974.900000, 1132600189, 8903246.100000, 35100728.800000, 73149, 1130105780, 2421260
9278, 52322223.100000, 1405621998, 10847500.500000, 41474722.600000, 86958, 1402655900, 2879140
3128, 6398399.700000, 79004703, 1024073.200000, 5374326.500000, 10903, 78671560, 322240
4142, 10048138.600000, 147890882, 1808118.200000, 8240020.400000, 16302, 147371800, 502780
10334, 64662003.500000, 1863730237, 14579568.300000, 50082435.200000, 103537, 1860183840, 3442860
