n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 1328235.130634, 30457335, 97254.291966, 1209575.785761, 21405.052907, 3360, 30446880, 7095
4847, 22133869.010870, 783631645, 1788097.195652, 20102466.543478, 243305.271739, 20984, 783534560, 76101
5167, 26682689.934211, 916156801, 2653980.250000, 23753855.394737, 274854.289474, 24544, 916043120, 89137
1879, 3498806.462199, 145461767, 258687.764605, 3178841.104811, 61277.592784, 5330, 145439680, 16757
5879, 35144975.517241, 1275593786, 3463523.775862, 31358005.534483, 323446.206897, 32481, 1275444080, 117225
6452, 45057698.377778, 1747574273, 4849652.466667, 39828365.288889, 379680.622222, 41461, 1747384000, 148812
2442, 5233490.835476, 194638454, 404822.930591, 4737572.146530, 91095.758355, 7000, 194608000, 23454
7272, 57056679.055556, 2609036244, 5772306.944444, 50826541.916667, 457830.194444, 53616, 2608792080, 190548
7766, 72989509.566667, 3174431912, 8862375.700000, 63576447.833333, 550686.033333, 62886, 3174145920, 223106
8522, 78107474.566667, 4530099599, 8319388.766667, 69220416.000000, 567669.800000, 73149, 4529767280, 259170
9278, 92753274.566667, 5622162468, 10099428.933333, 82010546.300000, 643299.333333, 86958, 5621769040, 306470
3128, 10286623.454545, 315899463, 800693.146465, 9339862.479798, 146067.828283, 10903, 315850080, 38480
4142, 17044161.882353, 591407504, 1460039.487395, 15375722.235294, 208400.159664, 16302, 591332640, 58562
10334, 120888306.500000, 7454561931, 15353636.133333, 104689473.166667, 845197.200000, 103537, 7454093440, 364954
