n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, gbuild_flops, prop_flops, bel_flops
981, 935119.800000, 7624890, 115657.600000, 819462.200000, 3360, 7570200, 51330
4847, 10963981.800000, 195953094, 2172366.700000, 8791615.100000, 20984, 195268040, 664070
5167, 12516939.200000, 229086994, 2506310.200000, 10010629.000000, 24544, 228274420, 788030
1879, 2216777.200000, 36384040, 305549.400000, 1911227.800000, 5330, 36248720, 129990
5879, 16868769.400000, 318952291, 3635531.200000, 13233238.200000, 32481, 317865140, 1054670
6452, 21359110.000000, 436951981, 5178053.700000, 16181056.300000, 41461, 435551440, 1359080
2442, 3302859.200000, 48683420, 482649.300000, 2820209.900000, 7000, 48490720, 185700
7272, 26556820.100000, 652324356, 6197812.700000, 20359007.400000, 53616, 650510700, 1760040
7766, 32000655.100000, 793677026, 8341907.500000, 23658747.600000, 62886, 791538400, 2075740
8522, 36433506.000000, 1132600189, 8951823.000000, 27481683.000000, 73149, 1130105780, 2421260
9278, 42919305.000000, 1405621998, 10595222.900000, 32324082.100000, 86958, 1402655900, 2879140
3128, 5689694.000000, 79004703, 1069520.600000, 4620173.400000, 10903, 78671560, 322240
4142, 8736040.600000, 147890882, 1788745.300000, 6947295.300000, 16302, 147371800, 502780
10334, 52876497.900000, 1863730237, 14568528.200000, 38307969.700000, 103537, 1860183840, 3442860
