n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops
981, 2746304.208955, 1527270, 127455.454545, 2589422.100407, 29426.654003, 3360, 1515720, 8190
4847, 27701496.383562, 19104738, 2388119.369863, 25020050.575342, 293326.438356, 20984, 18981720, 102034
5167, 32506792.444444, 22623532, 3204916.666667, 28986801.682540, 315074.095238, 24544, 22478200, 120788
1879, 6007330.757396, 3815808, 322329.928994, 5607807.781065, 77193.047337, 5330, 3790040, 20438
5879, 43575255.617021, 30194701, 4559309.829787, 38617958.978723, 397986.808511, 32481, 30001080, 161140
6452, 54031985.210526, 38818949, 6638710.105263, 46940485.473684, 452789.631579, 41461, 38570400, 207088
2442, 8370303.786008, 5431036, 504336.032922, 7755806.189300, 110161.563786, 7000, 5394960, 29076
7272, 66883306.709677, 50184138, 7789606.322581, 58565379.741935, 528320.645161, 53616, 49862880, 267642
7766, 79334488.000000, 59120130, 10402288.153846, 68338960.230769, 593239.615385, 62886, 58742000, 315244
8522, 90946975.130435, 68917639, 10880573.304348, 79405112.608696, 661289.217391, 73149, 68477040, 367450
9278, 107468389.789474, 81881628, 13318471.894737, 93404610.947368, 745306.947368, 86958, 81358160, 436510
3128, 13873844.328767, 9333763, 1001912.863014, 12702341.246575, 169590.219178, 10903, 9272960, 49900
4142, 21364546.105263, 14502990, 1816311.115789, 19314027.326316, 234207.663158, 16302, 14409200, 77488
10334, 129199445.750000, 97851933, 17987760.125000, 110334612.375000, 877073.250000, 103537, 97226800, 521596
