n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations
981, 1705966.556962, 3800850, 83067.332489, 1605971.308861, 16927.915612, 3360, 3789300, 8190, 100
4847, 31594707.734375, 47577318, 1780894.500000, 29592566.406250, 221246.828125, 20984, 47454300, 102034, 100
5167, 37938604.444444, 56340832, 2294843.592593, 35394343.129630, 249417.722222, 24544, 56195500, 120788, 100
1879, 4774951.386792, 9500868, 225719.917453, 4497270.851415, 51960.617925, 5330, 9475100, 20438, 100
5879, 49969191.000000, 75196321, 3256609.853659, 46406542.853659, 306038.292683, 32481, 75002700, 161140, 100
6452, 62935725.969697, 96674549, 4176430.030303, 58396309.181818, 362986.757576, 41461, 96426000, 207088, 100
2442, 8038487.384921, 13523476, 365155.801587, 7592784.317460, 80547.265873, 7000, 13487400, 29076, 100
7272, 81494666.480000, 124978458, 5513910.760000, 75535342.800000, 445412.920000, 53616, 124657200, 267642, 100
7766, 93856874.318182, 147233130, 6714276.000000, 86651242.409091, 491355.909091, 62886, 146855000, 315244, 100
8522, 110345277.684211, 171633199, 8035598.473684, 101739059.105263, 570620.105263, 73149, 171192600, 367450, 100
9278, 128674482.187500, 203918868, 8401166.437500, 119632421.937500, 640893.812500, 86958, 203395400, 436510, 100
3128, 14789395.985401, 23243203, 686340.000000, 13979573.934307, 123482.051095, 10903, 23182400, 49900, 100
4142, 23399424.517241, 36116790, 1261729.850575, 21962734.160920, 174960.505747, 16302, 36023000, 77488, 100
10334, 155291470.071429, 243692133, 11382586.928571, 143178326.285714, 730556.857143, 103537, 243067000, 521596, 100
