n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd
1010, 2511038.548264, 2240979, 675314.382172, 1787296.231101, 48427.934991, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 137664, 64792
2020, 8915666.759105, 8426843, 3259511.354103, 5519623.404125, 136532.000878, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 513200, 248520
3030, 21450307.564756, 20876307, 8063134.289809, 13181036.160297, 206137.114650, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 1267136, 621448
4040, 40349720.762000, 35269275, 18131852.466000, 21886502.518000, 331365.778000, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 2137648, 1052664
5050, 69706465.792388, 56360387, 31997809.186851, 37259297.878893, 449358.726644, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 3412896, 1686248
6060, 100970062.485000, 79721835, 48304822.565000, 52045307.030000, 619932.890000, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 4824528, 2388024
7070, 135632407.288591, 105193635, 62840446.362416, 71956525.557047, 835435.369128, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 6362848, 3153144
8080, 194552088.634615, 141908075, 96028237.913462, 97461527.971154, 1062322.750000, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 8581328, 4258344
9090, 254252992.437500, 178224603, 125805749.712500, 127126839.800000, 1320402.925000, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 10774480, 5350880
10100, 320953110.809524, 219957555, 161589718.333333, 157762918.841270, 1600473.634921, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 13294688, 6606944
