n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
1010, 5585711.315601, 2240979, 944727.840132, 4568273.627894, 72709.847574, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 275328, 129584, 8
2020, 19458102.831569, 8426843, 4158201.675650, 15103469.774783, 196431.381136, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 1026400, 497040, 8
3030, 51700904.582051, 20876307, 13244282.653846, 38089629.474359, 366992.453846, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 2534272, 1242896, 8
4040, 92202011.219178, 35269275, 25921994.607306, 65676745.031963, 603271.579909, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 4275296, 2105328, 8
5050, 147382635.459854, 56360387, 40700063.912409, 105783838.416058, 898733.131387, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 6825792, 3372496, 8
6060, 208366710.927835, 79721835, 55834348.309278, 151272870.134021, 1259492.484536, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 9649056, 4776048, 8
7070, 279886840.902778, 105193635, 78087897.875000, 200138898.291667, 1660044.736111, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 12725696, 6306288, 8
8080, 382340987.509434, 141908075, 108825245.792453, 271362222.226415, 2153519.490566, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 17162656, 8516688, 8
9090, 517302048.076923, 178224603, 164018235.615385, 350575827.743590, 2707984.717949, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 21548960, 10701760, 8
10100, 638069955.937500, 219957555, 202613844.843750, 432063328.406250, 3392782.687500, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 26589376, 13213888, 8
