n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
1010, 3852402.669943, 2240979, 944105.311153, 2837005.911342, 71291.447448, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 275328, 129584, 8
2020, 15203558.615154, 8426843, 4047506.903226, 10960735.569392, 195316.142536, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 1026400, 497040, 8
3030, 41063560.030488, 20876307, 13043975.268293, 27647745.815041, 371838.947154, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 2534272, 1242896, 8
4040, 71887121.316726, 35269275, 25661082.736655, 45627239.270463, 598799.309609, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 4275296, 2105328, 8
5050, 106949635.248677, 56360387, 41699996.481481, 64354888.661376, 894750.105820, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 6825792, 3372496, 8
6060, 152414036.947368, 79721835, 59001552.646617, 92153850.240601, 1258634.060150, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 9649056, 4776048, 8
7070, 201762133.600000, 105193635, 77995386.470000, 122097336.400000, 1669410.730000, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 12725696, 6306288, 8
8080, 275994985.108108, 141908075, 107914126.824324, 165950694.756757, 2130163.527027, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 17162656, 8516688, 8
9090, 381298094.735849, 178224603, 163101563.377358, 215481335.981132, 2715195.377358, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 21548960, 10701760, 8
10100, 478516897.558140, 219957555, 202389603.953488, 272793071.534884, 3334222.069767, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 26589376, 13213888, 8
