n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd
1010, 2793932.968707, 2240979, 941646.643265, 1779567.554014, 72718.771429, 19013, 2186540, 35426, 10, 272749140, 35426, 272803579, 275328, 129584
2020, 10403449.900000, 8426843, 3943317.295408, 6265002.779082, 195129.825510, 58023, 8238500, 130320, 10, 1997513180, 130320, 1997701523, 1026400, 497040
3030, 29635074.922515, 20876307, 13012954.100877, 16262343.144737, 359777.676901, 117033, 20439460, 319814, 10, 8295645020, 319814, 8296081867, 2534272, 1242896
4040, 55126560.632153, 35269275, 25103443.054496, 29421508.204360, 601609.373297, 196043, 34534780, 538452, 10, 17906586260, 538452, 17907320755, 4275296, 2105328
5050, 91763611.696833, 56360387, 42388917.171946, 48484592.941176, 890101.583710, 295053, 55207060, 858274, 10, 36707283500, 858274, 36708436827, 6825792, 3372496
6060, 131971733.215686, 79721835, 60392194.692810, 70330980.764706, 1248557.758170, 414063, 78095580, 1212192, 10, 61391187380, 1212192, 61392813635, 9649056, 4776048
7070, 175430488.474138, 105193635, 78607534.155172, 95153043.810345, 1669910.508621, 553073, 103042780, 1597782, 10, 91778587460, 1597782, 91780738315, 12725696, 6306288
8080, 242858715.380952, 141908075, 108291009.321429, 132423137.523810, 2144568.535714, 712083, 139042580, 2153412, 10, 146377632380, 2153412, 146380497875, 17162656, 8516688
9090, 341208620.916667, 178224603, 163866978.400000, 174633435.850000, 2708206.666667, 891093, 174630800, 2702710, 10, 205503624640, 2702710, 205507218443, 21548960, 10701760
10100, 427170048.333333, 219957555, 204608410.437500, 219249321.541667, 3312316.354167, 1090103, 215533680, 3333772, 10, 281961265600, 3333772, 281965689475, 26589376, 13213888
