n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 347509.957832, 358815, 55420.074262, 275769.429665, 16320.453905, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 24456, 8304, 4
4847, 5324144.316658, 4486245, 1636517.205825, 3476640.200807, 210986.910026, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 285016, 123120, 4
5167, 6489804.885582, 5313381, 2148975.997851, 4103365.012967, 237463.874764, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 335880, 147272, 4
1879, 914714.090444, 895207, 164710.410350, 699803.671570, 50200.008524, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 59512, 22240, 4
5879, 8632527.750040, 7093246, 3016549.735223, 5329963.252212, 286014.762605, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 445384, 199176, 4
6452, 10478231.254320, 9121073, 3495560.593990, 6647179.768413, 335490.891917, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 569440, 258912, 4
2442, 1380629.572283, 1274134, 276954.316550, 1023670.596573, 80004.659160, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 84048, 32256, 4
7272, 13410256.670401, 11793504, 4702995.734023, 8306055.062957, 401205.873422, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 733104, 337464, 4
7766, 16565509.292155, 13894792, 6548619.645288, 9579785.011880, 437104.634988, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 861360, 399616, 4
8522, 19433061.743288, 16198339, 7840497.987461, 11098159.649279, 494404.106548, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 1002592, 467208, 4
9278, 21660170.353399, 19247008, 8275231.360331, 12836680.481130, 548258.511938, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 1188768, 557272, 4
3128, 2484397.229299, 2190863, 618218.561820, 1740409.322079, 125769.345400, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 141408, 58192, 4
4142, 4047241.880222, 3405064, 1154243.242382, 2716032.663480, 176965.974360, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 217680, 92272, 4
10334, 27345615.820213, 23002091, 11698670.836449, 15029730.684907, 617214.298857, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 1418480, 667904, 4
