n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 3334718.525130, 358815, 69080.136833, 3229364.129174, 36274.259123, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608, 8
4847, 78606855.947383, 4486245, 2473770.551929, 75799398.554545, 333686.840909, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240, 8
5167, 92143250.538487, 5313381, 2374270.404558, 89396847.578571, 372132.555357, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544, 8
1879, 14308920.256924, 895207, 252613.388805, 13973047.098351, 83259.769768, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480, 8
5879, 127010529.795566, 7093246, 3316063.741379, 123241880.320197, 452585.733990, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352, 8
6452, 174301114.740492, 9121073, 5596905.951902, 168177342.000000, 526866.788591, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824, 8
2442, 19700174.921154, 1274134, 474055.636803, 19087047.052290, 139072.232061, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512, 8
7272, 255098021.725538, 11793504, 5996143.260192, 248479896.950495, 621981.514851, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928, 8
7766, 309082497.870101, 13894792, 7193534.695402, 301204670.018072, 684293.156627, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232, 8
8522, 432878076.053738, 16198339, 8555861.297436, 423550715.588235, 771499.168067, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416, 8
9278, 537899206.532996, 19247008, 10450591.206681, 526574826.010526, 873789.315789, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544, 8
3128, 32575548.194110, 2190863, 1032147.431579, 31343747.848997, 199652.913534, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384, 8
4142, 59310746.447993, 3405064, 1409434.112740, 57622327.888249, 278984.447005, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544, 8
10334, 709931154.022795, 23002091, 12728583.175573, 696208692.875000, 993877.972222, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808, 8
