n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 447473.299980, 358815, 69049.567793, 343245.426529, 35178.305659, 3360, 348360, 7095, 10, 7611720, 7095, 7622175, 48912, 16608, 8
4847, 7189110.238465, 4486245, 2482119.175186, 4388114.247938, 318876.815341, 20984, 4389160, 76101, 10, 195883640, 76101, 195980725, 570032, 246240, 8
5167, 7823891.765463, 5313381, 2372073.432163, 5096566.847518, 355251.485781, 24544, 5199700, 89137, 10, 229010780, 89137, 229124461, 671760, 294544, 8
1879, 1193172.229071, 895207, 253618.923003, 860278.592522, 79274.713546, 5330, 873120, 16757, 10, 36359920, 16757, 36382007, 119024, 44480, 8
5879, 10404326.442758, 7093246, 3310786.595632, 6652830.450639, 440709.396487, 32481, 6943540, 117225, 10, 318861020, 117225, 319010726, 890768, 398352, 8
6452, 14400591.889034, 9121073, 5605854.621076, 8274742.322079, 519994.945879, 41461, 8930800, 148812, 10, 436846000, 148812, 437036273, 1138880, 517824, 8
2442, 1822327.701238, 1274134, 474433.258848, 1234149.511749, 113744.930641, 7000, 1243680, 23454, 10, 48652000, 23454, 48682454, 168096, 64512, 8
7272, 17222415.800805, 11793504, 6032147.086852, 10570070.609091, 620198.104863, 53616, 11549340, 190548, 10, 652198020, 190548, 652442184, 1466208, 674928, 8
7766, 20265339.177138, 13894792, 7212540.497118, 12362244.918150, 690553.761869, 62886, 13608800, 223106, 10, 793536480, 223106, 793822472, 1722720, 799232, 8
8522, 23716368.126959, 16198339, 8537446.075085, 14408768.546110, 770153.505764, 73149, 15866020, 259170, 10, 1132441820, 259170, 1132774139, 2005184, 934416, 8
9278, 28348858.694123, 19247008, 10404148.257796, 17071684.870263, 873025.566064, 86958, 18853580, 306470, 10, 1405442260, 306470, 1405835688, 2377536, 1114544, 8
3128, 3317141.668744, 2190863, 1041898.123567, 2094378.686969, 180864.858208, 10903, 2141480, 38480, 10, 78962520, 38480, 79011903, 282816, 116384, 8
4142, 5004145.190298, 3405064, 1418628.413333, 3326985.131479, 258531.645485, 16302, 3330200, 58562, 10, 147833160, 58562, 147908024, 435360, 184544, 8
10334, 34082799.808190, 23002091, 12729453.346056, 20360941.563111, 992404.899023, 103537, 22533600, 364954, 10, 1863523360, 364954, 1863991851, 2836960, 1335808, 8
