n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
981, 58502688.900000, 1828024, 3047936.200000, 55454752.700000, 0.000000, 3594, 1824430, 0, 10
4847, 1043168238.100000, 46659268, 34372581.100000, 1008795657.000000, 0.000000, 21218, 46638050, 0, 10
5167, 1217097069.700000, 54016788, 36845185.400000, 1180251884.300000, 0.000000, 24778, 53992010, 0, 10
1879, 169566684.000000, 7087414, 6843704.900000, 162722979.100000, 0.000000, 5564, 7081850, 0, 10
5879, 1719642018.600000, 76160005, 48556599.000000, 1671085419.600000, 0.000000, 32715, 76127290, 0, 10
6452, 2325939516.400000, 102594055, 61890468.400000, 2264049048.000000, 0.000000, 41695, 102552360, 0, 10
2442, 247255409.100000, 10454654, 9564644.700000, 237690764.400000, 0.000000, 7234, 10447420, 0, 10
7272, 3291095646.700000, 153599690, 80399719.100000, 3210695927.600000, 0.000000, 53850, 153545840, 0, 10
7766, 3995524235.000000, 186075660, 95195564.400000, 3900328670.600000, 0.000000, 63120, 186012540, 0, 10
3128, 446231061.100000, 18696177, 15973475.500000, 430257585.600000, 0.000000, 11137, 18685040, 0, 10
4142, 773691048.700000, 35281156, 24697494.800000, 748993553.900000, 0.000000, 16536, 35264620, 0, 10
