n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
169867, 6607845993.909091, 3858482966, 1961341438.000000, 4616152306.545455, 30352249.363636, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 233284488, 115962776, 4
187172, 7598946437.555555, 4395655085, 2321596776.555555, 5242883218.500000, 34466442.500000, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 265743376, 132123000, 4
204131, 8609252154.777777, 4943819562, 2662455977.777778, 5908593756.222222, 38202420.777778, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 298863864, 148615408, 4
221003, 9808768461.805555, 5493628325, 3127087481.555555, 6639685846.000000, 41995134.250000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 332083896, 165157936, 4
45729, 873653131.437349, 536651105, 262786691.100000, 605600718.072289, 5265722.265060, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 32512088, 16073128, 4
71223, 1769976636.350000, 1098103147, 521461330.500000, 1238807880.050000, 9707425.800000, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 66459800, 32945008, 4
92295, 2715106356.814815, 1651975400, 831324379.000000, 1869941736.148148, 13840241.666667, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 99937416, 49599528, 4
111227, 3637358508.238889, 2202860461, 1105606674.888889, 2513806721.450000, 17945111.900000, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 133227848, 66169016, 4
135339, 4589647132.208333, 2763444458, 1387654473.333333, 3179743466.312500, 22249192.562500, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 167119272, 83018280, 4
152638, 5637850082.222222, 3309538662, 1689344045.222222, 3922203308.846154, 26302728.153846, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 200115952, 99447424, 4
221588, 9907705584.416666, 5513114465, 3193445821.666667, 6672054412.500000, 42205350.250000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 333261152, 165744224, 4
