n (number of vertices), total_cycle, total_flops, gbuild_cycle, prop_cycle, bel_cycle, gbuild_flops, prop_flops, bel_flops, iterations, old_prop_flops, old_bel_flops, old_total_flops, bytes_seq, bytes_rnd, sizeof_rnd
169867, 5183927450.844444, 3858482966, 1945562176.777778, 3208001899.933333, 30363374.133333, 17612397, 3782379580, 58490989, 10, 5887738703780, 58490989, 5887814807166, 233284488, 115962776, 4
187172, 6067754321.666667, 4395655085, 2292025565.666667, 3740905702.153846, 34823053.846154, 20060809, 4308971260, 66623016, 10, 7623877874340, 66623016, 7623964558165, 265743376, 132123000, 4
204131, 6918874235.861111, 4943819562, 2622317745.444445, 4258188908.666667, 38367581.750000, 22568225, 4846331240, 74920097, 10, 9600513986440, 74920097, 9600611474762, 298863864, 148615408, 4
221003, 7984835397.188890, 5493628325, 3110859468.888889, 4831677599.500000, 42298328.800000, 25073188, 5385313160, 83241977, 10, 11805626284760, 83241977, 11805734599925, 332083896, 165157936, 4
45729, 623168512.678571, 536651105, 262396096.000000, 355497931.392857, 5274485.285714, 2442374, 526034980, 8173751, 10, 145103891980, 8173751, 145114508105, 32512088, 16073128, 4
71223, 1290987875.984615, 1098103147, 511542681.200000, 769692491.707692, 9752703.076923, 5006374, 1076410600, 16686173, 10, 530488508280, 16686173, 530510200827, 66459800, 32945008, 4
92295, 2033626350.124661, 1651975400, 818389095.222222, 1201271785.219512, 13965469.682927, 7530491, 1619368260, 25076649, 10, 1142974063100, 25076649, 1143006670240, 99937416, 49599528, 4
111227, 2766915654.400000, 2202860461, 1089405532.666667, 1659547638.933333, 17962482.800000, 10051092, 2159391180, 33418189, 10, 1983622274260, 33418189, 1983665743541, 133227848, 66169016, 4
135339, 3535327143.202899, 2763444458, 1361701010.333333, 2151227551.130435, 22398581.739130, 12608081, 2708921220, 41915157, 10, 3076498437660, 41915157, 3076552960898, 167119272, 83018280, 4
152638, 4305807011.017544, 3309538662, 1627209533.333333, 2652339953.263158, 26257524.421053, 15104716, 3244252320, 50181626, 10, 4360387411360, 50181626, 4360452697702, 200115952, 99447424, 4
221588, 8038627512.422222, 5513114465, 3112792099.222222, 4883173693.300000, 42661719.900000, 25163269, 5404414320, 83536876, 10, 11888072091920, 83536876, 11888180792065, 333261152, 165744224, 4
